{'loss': '0', 'grad_norm': '0', 'learning_rate': '1e-05', 'num_tokens': '5.149e+04', 'completions/mean_length': '200', 'completions/min_length': '200', 'completions/max_length': '200', 'completions/clipped_ratio': '1', 'completions/mean_terminated_length': '0', 'completions/min_terminated_length': '0', 'completions/max_terminated_length': '0', 'rewards/reward_fn/mean': '-0.0325', 'rewards/reward_fn/std': '0.01633', 'reward': '-0.0325', 'reward_std': '0.01633', 'frac_reward_zero_std': '0.6', 'entropy': '0.1067', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '30.61', 'epoch': '0.03333'}
{'loss': '-1.49e-08', 'grad_norm': '0', 'learning_rate': '2.25e-05', 'num_tokens': '1.014e+05', 'completions/mean_length': '200', 'completions/min_length': '200', 'completions/max_length': '200', 'completions/clipped_ratio': '1', 'completions/mean_terminated_length': '0', 'completions/min_terminated_length': '0', 'completions/max_terminated_length': '0', 'rewards/reward_fn/mean': '-0.0075', 'rewards/reward_fn/std': '0.008864', 'reward': '-0.0075', 'reward_std': '0.008864', 'frac_reward_zero_std': '0.8', 'entropy': '0.1311', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '31.91', 'epoch': '0.06667'}
{'loss': '-1.341e-08', 'grad_norm': '0.6094', 'learning_rate': '3.5e-05', 'num_tokens': '1.518e+05', 'completions/mean_length': '200', 'completions/min_length': '200', 'completions/max_length': '200', 'completions/clipped_ratio': '1', 'completions/mean_terminated_length': '0', 'completions/min_terminated_length': '0', 'completions/max_terminated_length': '0', 'rewards/reward_fn/mean': '-0.01375', 'rewards/reward_fn/std': '0.01923', 'reward': '-0.01375', 'reward_std': '0.01923', 'frac_reward_zero_std': '0.4', 'entropy': '0.1242', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '29.11', 'epoch': '0.1'}
{'loss': '-8.941e-09', 'grad_norm': '0.2949', 'learning_rate': '4.75e-05', 'num_tokens': '2.023e+05', 'completions/mean_length': '200', 'completions/min_length': '200', 'completions/max_length': '200', 'completions/clipped_ratio': '1', 'completions/mean_terminated_length': '0', 'completions/min_terminated_length': '0', 'completions/max_terminated_length': '0', 'rewards/reward_fn/mean': '-0.015', 'rewards/reward_fn/std': '0.01498', 'reward': '-0.015', 'reward_std': '0.01498', 'frac_reward_zero_std': '0.6', 'entropy': '0.09807', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '29.23', 'epoch': '0.1333'}
{'loss': '-1.788e-08', 'grad_norm': '0', 'learning_rate': '4.846e-05', 'num_tokens': '2.533e+05', 'completions/mean_length': '200', 'completions/min_length': '200', 'completions/max_length': '200', 'completions/clipped_ratio': '1', 'completions/mean_terminated_length': '0', 'completions/min_terminated_length': '0', 'completions/max_terminated_length': '0', 'rewards/reward_fn/mean': '-0.01125', 'rewards/reward_fn/std': '0.01759', 'reward': '-0.01125', 'reward_std': '0.01759', 'frac_reward_zero_std': '0.4', 'entropy': '0.105', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '29.09', 'epoch': '0.1667'}
{'loss': '0', 'grad_norm': '0', 'learning_rate': '4.654e-05', 'num_tokens': '3.038e+05', 'completions/mean_length': '200', 'completions/min_length': '200', 'completions/max_length': '200', 'completions/clipped_ratio': '1', 'completions/mean_terminated_length': '0', 'completions/min_terminated_length': '0', 'completions/max_terminated_length': '0', 'rewards/reward_fn/mean': '0', 'rewards/reward_fn/std': '0', 'reward': '0', 'reward_std': '0', 'frac_reward_zero_std': '1', 'entropy': '0.1006', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '29.2', 'epoch': '0.2'}
{'loss': '0', 'grad_norm': '0', 'learning_rate': '4.462e-05', 'num_tokens': '3.536e+05', 'completions/mean_length': '200', 'completions/min_length': '200', 'completions/max_length': '200', 'completions/clipped_ratio': '1', 'completions/mean_terminated_length': '0', 'completions/min_terminated_length': '0', 'completions/max_terminated_length': '0', 'rewards/reward_fn/mean': '0', 'rewards/reward_fn/std': '0', 'reward': '0', 'reward_std': '0', 'frac_reward_zero_std': '1', 'entropy': '0.1079', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '29.93', 'epoch': '0.2333'}
{'loss': '0', 'grad_norm': '0', 'learning_rate': '4.269e-05', 'num_tokens': '4.044e+05', 'completions/mean_length': '200', 'completions/min_length': '200', 'completions/max_length': '200', 'completions/clipped_ratio': '1', 'completions/mean_terminated_length': '0', 'completions/min_terminated_length': '0', 'completions/max_terminated_length': '0', 'rewards/reward_fn/mean': '0', 'rewards/reward_fn/std': '0', 'reward': '0', 'reward_std': '0', 'frac_reward_zero_std': '1', 'entropy': '0.1339', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '29.07', 'epoch': '0.2667'}
{'loss': '0', 'grad_norm': '0', 'learning_rate': '4.077e-05', 'num_tokens': '4.548e+05', 'completions/mean_length': '200', 'completions/min_length': '200', 'completions/max_length': '200', 'completions/clipped_ratio': '1', 'completions/mean_terminated_length': '0', 'completions/min_terminated_length': '0', 'completions/max_terminated_length': '0', 'rewards/reward_fn/mean': '0.02', 'rewards/reward_fn/std': '0.02138', 'reward': '0.02', 'reward_std': '0.02138', 'frac_reward_zero_std': '0.8', 'entropy': '0.1283', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '28.94', 'epoch': '0.3'}
{'loss': '0', 'grad_norm': '0', 'learning_rate': '3.885e-05', 'num_tokens': '5.046e+05', 'completions/mean_length': '200', 'completions/min_length': '200', 'completions/max_length': '200', 'completions/clipped_ratio': '1', 'completions/mean_terminated_length': '0', 'completions/min_terminated_length': '0', 'completions/max_terminated_length': '0', 'rewards/reward_fn/mean': '0', 'rewards/reward_fn/std': '0', 'reward': '0', 'reward_std': '0', 'frac_reward_zero_std': '1', 'entropy': '0.07895', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '28.98', 'epoch': '0.3333'}
{'loss': '5.215e-08', 'grad_norm': '0.5508', 'learning_rate': '3.692e-05', 'num_tokens': '5.548e+05', 'completions/mean_length': '200', 'completions/min_length': '200', 'completions/max_length': '200', 'completions/clipped_ratio': '1', 'completions/mean_terminated_length': '0', 'completions/min_terminated_length': '0', 'completions/max_terminated_length': '0', 'rewards/reward_fn/mean': '0.04792', 'rewards/reward_fn/std': '0.02984', 'reward': '0.04792', 'reward_std': '0.02984', 'frac_reward_zero_std': '0.4', 'entropy': '0.08205', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '28.95', 'epoch': '0.3667'}
