step,reward_mean,reward_std,epoch
1,0.2111,0.3246,0.03333
2,0.1734,0.2888,0.06667
3,0.6061,0.4542,0.1
4,0.3982,0.1559,0.1333
5,0.8088,0.2209,0.1667
6,0.7825,0.0,0.2
7,0.99,0.0,0.2333
8,0.9975,0.0,0.2667
9,0.7938,0.005175,0.3
10,0.9975,0.0,0.3333
11,0.9875,0.0,0.3667
12,0.9925,0.0,0.4
13,0.985,0.0,0.4333
14,1.0,0.0,0.4667
15,0.9975,0.0,0.5
16,0.9975,0.0,0.5333
17,0.9475,0.09721,0.5667
18,0.9975,0.0,0.6
19,0.9875,0.0,0.6333
20,0.995,0.0,0.6667
21,0.995,0.0,0.7
22,0.9975,0.0,0.7333
23,1.0,0.0,0.7667
24,0.9975,0.0,0.8
25,0.995,0.0,0.8333
26,0.99,0.0,0.8667
27,0.9925,0.0,0.9
28,0.9925,0.0,0.9333
29,0.9975,0.0,0.9667
30,0.995,0.0,1.0
